"lr.cell.name","lr.gene.name","obs.xy.diff","null.diff.sd","pvalue","stage","adj.p","Welch.t.stat","Welch.t.sd","Welch.t.p","adj.t.p","limma.Lg.p","limma.Rg.p","limma.Lg.logFC","limma.Rg.logFC","adj.limma.Lg.p","adj.limma.Rg.p"
"T cells-T cells","ADAM10-AXL",-11.6402,2.0605,0.00000346875,2,0.000091560174,-5.3734,2.1663,0.028375,0.201539584573,0.101598112489,0.001408428994,0.2564,-2.1682,0.523841099795,0.060261512405
"T cells-T cells","APOE-LRP1",-28.8754,5.2866,0.000049304673,2,0.00101906756,-3.333,8.6635,0.146661,0.379159174233,0.016930553772,0.00884679834,-3.8083,-2.8279,0.238368008305,0.166261520958
"T cells-T cells","APOE-SCARB1",-12.0977,2.8804,0.000623875783,2,0.009369646403,-2.7199,4.4479,0.176829,0.412503585835,0.016930553772,0.049412586811,-3.8083,-1.0637,0.238368008305,0.41225545859
"T cells-T cells","B2M-TFRC",-29.8652,5.78,0.000008725912,2,0.000212911064,-2.7723,10.7728,0.21229,0.427624311663,0.38219001008,0.002022388519,0.1532,-2.2555,0.848188517996,0.074573906316
"T cells-T cells","C1QB-LRP1",-29.8438,5.4997,0.000086348501,2,0.001681847176,-2.3207,12.8598,0.242387,0.455201591412,0.022510603046,0.00884679834,-3.051,-2.8279,0.277164364167,0.166261520958
"T cells-T cells","CALCB-ADRB2",6.2009,0.7606,0,2,0,10.9651,0.5655,0.000393,0.028380780242,0.000008820474,0.264633696559,1.5,-0.597,0.002659465536,0.745078233309
"T cells-T cells","CALM1-PDE1B",-16.9123,3.7132,0.000165436232,2,0.00299663449,-3.4768,4.8643,0.115873,0.339968048243,0.274739666218,0.003810849222,0.1459,-1.7185,0.758820705608,0.106872797742
"T cells-T cells","CALM1-SELL",35.4299,7.42,0.000474387119,2,0.007446131558,7.0397,5.0329,0.002135,0.069711545123,0.274739666218,0.004686870633,0.1459,3.4702,0.758820705608,0.120200205306
"T cells-T cells","CALM2-PDE1B",-14.7688,2.9816,0.00005623727,2,0.001147896266,-3.819,3.8672,0.10162,0.323785536689,0.029649051622,0.003810849222,-0.2875,-1.7185,0.319547929699,0.106872797742
"T cells-T cells","CALM3-PDE1B",-10.8869,2.5247,0.00032682149,2,0.005429693391,-3.5084,3.1031,0.092196,0.311969752503,0.015145997327,0.003810849222,0.5783,-1.7185,0.224442977482,0.106872797742
"T cells-T cells","CALM3-SELL",27.5946,5.5372,0.000021282441,2,0.000474963087,6.8692,4.0171,0.002243,0.071669952721,0.015145997327,0.004686870633,0.5783,3.4702,0.224442977482,0.120200205306
