source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,ligand.logFC,ligand.pct.1,ligand.pct.2,ligand.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2,receptor.pvalues
Ciliated,Macrophages,ADAM15,ITGA5,0.000323557,0,14,ADAM15 - ITGA5,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,0.451215307,0.364,0.27,2.58E-111
Ciliated,Macrophages,ADAM15,ITGB1,0.000350716,0,17,ADAM15 - ITGB1,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,-0.138667375,0.401,0.651,3.47E-181
Ciliated,T cells,ADAM15,ITGB1,0.000341418,0,17,ADAM15 - ITGB1,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,NA,NA,NA,NA
Ciliated,DC,ADAM15,ITGB1,0.000326036,0,17,ADAM15 - ITGB1,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,-0.213720894,0.496,0.624,4.78E-07
Ciliated,Prolif.T,ADAM15,ITGB1,0.000665975,0,17,ADAM15 - ITGB1,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,-0.225799727,0.591,0.75,6.44E-05
Ciliated,Ciliated,ADAM15,ITGB1,0.000295025,0,17,ADAM15 - ITGB1,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,-0.197384148,0.409,0.619,0.003302036
Ciliated,Aveolar cells,ADAM15,ITGB1,0.000976765,0,17,ADAM15 - ITGB1,other,other,other,Pos,0.322675861,0.25,0.117,0.001914991,0.451650607,0.58,0.375,0.251212292
Ciliated,Macrophages,ANXA1,DYSF,0.016757247,0,119,ANXA1 - DYSF,other,other,other,Pos,0.470661473,0.943,0.973,2.96E-08,0.705810319,0.284,0.008,0
Ciliated,Aveolar cells,ANXA1,EGFR,0.003474749,0,120,ANXA1 - EGFR,other,other,other,Pos,0.470661473,0.943,0.973,2.96E-08,0.496472499,0.252,0,0.110612294
Ciliated,Macrophages,ANXA1,FPR1,0.087048838,0,121,ANXA1 - FPR1,other,other,other,Pos,0.470661473,0.943,0.973,2.96E-08,0.86801153,0.591,0.482,0
Ciliated,DC,ANXA1,FPR1,0.031722361,0,121,ANXA1 - FPR1,other,other,other,Pos,0.470661473,0.943,0.973,2.96E-08,0.322332421,0.438,0.429,0.027923742
Ciliated,Macrophages,ANXA1,FPR3,0.025203392,0,123,ANXA1 - FPR3,other,other,other,Pos,0.470661473,0.943,0.973,2.96E-08,0.763035958,0.365,0.091,0
Ciliated,DC,ANXA1,FPR3,0.018732476,0,123,ANXA1 - FPR3,other,other,other,Pos,0.470661473,0.943,0.973,2.96E-08,-0.138568954,0.35,0.475,4.07E-05
Macrophages,Aveolar cells,APP,CAV1,0.002681927,0,175,APP - CAV1,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,1.807763667,0.49,0,0.011573998
DC,Aveolar cells,APP,CAV1,0.003539921,0,175,APP - CAV1,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,1.807763667,0.49,0,0.011573998
Ciliated,Aveolar cells,APP,CAV1,0.01303359,0,175,APP - CAV1,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,1.807763667,0.49,0,0.011573998
Aveolar cells,Aveolar cells,APP,CAV1,0.00768106,0,175,APP - CAV1,other,other,other,Pos,0.904269751,0.51,0,0.009109391,1.807763667,0.49,0,0.011573998
Macrophages,Macrophages,APP,CD74,0.02558873,0,176,APP - CD74,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,-1.018967542,0.981,1,0
DC,Macrophages,APP,CD74,0.033528627,0,176,APP - CD74,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,-1.018967542,0.981,1,0
Ciliated,Macrophages,APP,CD74,0.114228977,0,176,APP - CD74,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,-1.018967542,0.981,1,0
Aveolar cells,Macrophages,APP,CD74,0.070277509,0,176,APP - CD74,other,other,other,Pos,0.904269751,0.51,0,0.009109391,-1.018967542,0.981,1,0
Macrophages,T cells,APP,CD74,0.015052725,0,176,APP - CD74,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,-1.008854753,0.776,0.924,9.36E-155
DC,T cells,APP,CD74,0.019789812,0,176,APP - CD74,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,-1.008854753,0.776,0.924,9.36E-155
Ciliated,T cells,APP,CD74,0.069810679,0,176,APP - CD74,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,-1.008854753,0.776,0.924,9.36E-155
Aveolar cells,T cells,APP,CD74,0.042136861,0,176,APP - CD74,other,other,other,Pos,0.904269751,0.51,0,0.009109391,-1.008854753,0.776,0.924,9.36E-155
Macrophages,DC,APP,CD74,0.033285266,0,176,APP - CD74,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,-0.390744204,0.997,1,3.69E-39
DC,DC,APP,CD74,0.043506683,0,176,APP - CD74,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,-0.390744204,0.997,1,3.69E-39
Ciliated,DC,APP,CD74,0.144629347,0,176,APP - CD74,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,-0.390744204,0.997,1,3.69E-39
Aveolar cells,DC,APP,CD74,0.090171599,0,176,APP - CD74,other,other,other,Pos,0.904269751,0.51,0,0.009109391,-0.390744204,0.997,1,3.69E-39
Macrophages,Prolif.T,APP,CD74,0.016671772,0,176,APP - CD74,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,-2.055191459,0.978,0.988,2.05E-45
DC,Prolif.T,APP,CD74,0.021907041,0,176,APP - CD74,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,-2.055191459,0.978,0.988,2.05E-45
Ciliated,Prolif.T,APP,CD74,0.076859807,0,176,APP - CD74,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,-2.055191459,0.978,0.988,2.05E-45
Aveolar cells,Prolif.T,APP,CD74,0.046531411,0,176,APP - CD74,other,other,other,Pos,0.904269751,0.51,0,0.009109391,-2.055191459,0.978,0.988,2.05E-45
Macrophages,Ciliated,APP,CD74,0.023982346,0,176,APP - CD74,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,-1.45561727,1,1,1.89E-39
DC,Ciliated,APP,CD74,0.031439882,0,176,APP - CD74,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,-1.45561727,1,1,1.89E-39
Ciliated,Ciliated,APP,CD74,0.10767291,0,176,APP - CD74,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,-1.45561727,1,1,1.89E-39
Aveolar cells,Ciliated,APP,CD74,0.066055878,0,176,APP - CD74,other,other,other,Pos,0.904269751,0.51,0,0.009109391,-1.45561727,1,1,1.89E-39
Macrophages,Aveolar cells,APP,CD74,0.015683585,0,176,APP - CD74,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,-2.070020552,0.797,1,2.97E-06
DC,Aveolar cells,APP,CD74,0.020615049,0,176,APP - CD74,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,-2.070020552,0.797,1,2.97E-06
Ciliated,Aveolar cells,APP,CD74,0.072567368,0,176,APP - CD74,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,-2.070020552,0.797,1,2.97E-06
Aveolar cells,Aveolar cells,APP,CD74,0.043852282,0,176,APP - CD74,other,other,other,Pos,0.904269751,0.51,0,0.009109391,-2.070020552,0.797,1,2.97E-06
Macrophages,Macrophages,APP,LRP1,0.004850371,0,180,APP - LRP1,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,NA,NA,NA,NA
DC,Macrophages,APP,LRP1,0.006397636,0,180,APP - LRP1,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,NA,NA,NA,NA
Ciliated,Macrophages,APP,LRP1,0.023375587,0,180,APP - LRP1,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,NA,NA,NA,NA
Aveolar cells,Macrophages,APP,LRP1,0.013835427,0,180,APP - LRP1,other,other,other,Pos,0.904269751,0.51,0,0.009109391,NA,NA,NA,NA
Macrophages,DC,APP,LRP1,0.000927968,0,180,APP - LRP1,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,0.137098017,0.276,0.198,0.003857379
DC,DC,APP,LRP1,0.00122553,0,180,APP - LRP1,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,0.137098017,0.276,0.198,0.003857379
Ciliated,DC,APP,LRP1,0.004540546,0,180,APP - LRP1,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,0.137098017,0.276,0.198,0.003857379
Aveolar cells,DC,APP,LRP1,0.002666448,0,180,APP - LRP1,other,other,other,Pos,0.904269751,0.51,0,0.009109391,0.137098017,0.276,0.198,0.003857379
Macrophages,Macrophages,APP,NCSTN,0.000865306,0,182,APP - NCSTN,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,NA,NA,NA,NA
DC,Macrophages,APP,NCSTN,0.001142798,0,182,APP - NCSTN,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,NA,NA,NA,NA
Ciliated,Macrophages,APP,NCSTN,0.004234975,0,182,APP - NCSTN,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,NA,NA,NA,NA
Aveolar cells,Macrophages,APP,NCSTN,0.002486686,0,182,APP - NCSTN,other,other,other,Pos,0.904269751,0.51,0,0.009109391,NA,NA,NA,NA
Macrophages,DC,APP,NCSTN,0.000829977,0,182,APP - NCSTN,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,NA,NA,NA,NA
DC,DC,APP,NCSTN,0.001096152,0,182,APP - NCSTN,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,NA,NA,NA,NA
Ciliated,DC,APP,NCSTN,0.004062629,0,182,APP - NCSTN,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,NA,NA,NA,NA
Aveolar cells,DC,APP,NCSTN,0.002385318,0,182,APP - NCSTN,other,other,other,Pos,0.904269751,0.51,0,0.009109391,NA,NA,NA,NA
Macrophages,Aveolar cells,APP,TNFRSF21,0.00083319,0,185,APP - TNFRSF21,other,other,other,Pos,0.46523939,0.295,0.136,6.34E-231,0.362470472,0.266,0,0.098691587
DC,Aveolar cells,APP,TNFRSF21,0.001100394,0,185,APP - TNFRSF21,other,other,other,Pos,0.399543958,0.466,0.28,1.02E-10,0.362470472,0.266,0,0.098691587
Ciliated,Aveolar cells,APP,TNFRSF21,0.004078304,0,185,APP - TNFRSF21,other,other,other,Pos,1.252464942,0.705,0.099,6.01E-31,0.362470472,0.266,0,0.098691587
Aveolar cells,Aveolar cells,APP,TNFRSF21,0.002394536,0,185,APP - TNFRSF21,other,other,other,Pos,0.904269751,0.51,0,0.009109391,0.362470472,0.266,0,0.098691587
T cells,T cells,B2M,CD247,0.070386348,0,225,B2M - CD247,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.193247815,0.413,0.267,2.72E-11
DC,T cells,B2M,CD247,0.066607514,0,225,B2M - CD247,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,0.193247815,0.413,0.267,2.72E-11
T cells,Prolif.T,B2M,CD247,0.131717221,0,225,B2M - CD247,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.903516014,0.758,0.012,8.28E-29
DC,Prolif.T,B2M,CD247,0.125088776,0,225,B2M - CD247,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,0.903516014,0.758,0.012,8.28E-29
T cells,T cells,B2M,CD3D,0.231268826,0,226,B2M - CD3D,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.427745453,0.722,0.484,1.49E-40
DC,T cells,B2M,CD3D,0.220905181,0,226,B2M - CD3D,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,0.427745453,0.722,0.484,1.49E-40
T cells,Prolif.T,B2M,CD3D,0.272600553,0,226,B2M - CD3D,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,2.199069285,0.929,0.038,2.80E-43
DC,Prolif.T,B2M,CD3D,0.261013626,0,226,B2M - CD3D,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,2.199069285,0.929,0.038,2.80E-43
T cells,T cells,B2M,CD3G,0.182814055,0,227,B2M - CD3G,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.276712085,0.552,0.362,5.12E-17
DC,T cells,B2M,CD3G,0.174129923,0,227,B2M - CD3G,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,0.276712085,0.552,0.362,5.12E-17
T cells,Prolif.T,B2M,CD3G,0.197789111,0,227,B2M - CD3G,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,1.207537716,0.858,0.05,7.72E-34
DC,Prolif.T,B2M,CD3G,0.188557763,0,227,B2M - CD3G,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,1.207537716,0.858,0.05,7.72E-34
T cells,Macrophages,B2M,HLA-F,0.044420784,0,229,B2M - HLA-F,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.140598547,0.388,0.493,1.43E-09
DC,Macrophages,B2M,HLA-F,0.041973023,0,229,B2M - HLA-F,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,0.140598547,0.388,0.493,1.43E-09
T cells,T cells,B2M,HLA-F,0.051924442,0,229,B2M - HLA-F,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,NA,NA,NA,NA
DC,T cells,B2M,HLA-F,0.049084439,0,229,B2M - HLA-F,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,NA,NA,NA,NA
T cells,Macrophages,B2M,LILRB1,0.057745291,0,236,B2M - LILRB1,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.77863979,0.478,0.293,0
DC,Macrophages,B2M,LILRB1,0.054605253,0,236,B2M - LILRB1,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,0.77863979,0.478,0.293,0
T cells,DC,B2M,LILRB1,0.038308021,0.04,236,B2M - LILRB1,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,0.313103286,0.39,0.271,3.87E-06
T cells,Macrophages,B2M,LILRB2,0.142316543,0,237,B2M - LILRB2,other,other,other,Pos,0.205994016,0.993,0.997,2.63E-39,1.289064282,0.598,0.146,0
DC,Macrophages,B2M,LILRB2,0.135237783,0,237,B2M - LILRB2,other,other,other,Pos,0.697552661,0.997,1,4.67E-71,1.289064282,0.598,0.146,0
Ciliated,Aveolar cells,BTC,EGFR,0.000205119,0,294,BTC - EGFR,other,other,other,Pos,0.43874335,0.261,0,2.55E-15,0.496472499,0.252,0,0.110612294
Ciliated,Ciliated,BTC,ERBB2,0.000839689,0,295,BTC - ERBB2,other,other,other,Pos,0.43874335,0.261,0,2.55E-15,0.468367009,0.273,0.018,1.12E-12
Ciliated,Aveolar cells,BTC,ERBB3,0.000205119,0,296,BTC - ERBB3,other,other,other,Pos,0.43874335,0.261,0,2.55E-15,0.356811754,0.252,0,0.110612294
DC,Macrophages,C1QB,LRP1,0.039843811,0,305,C1QB - LRP1,other,other,other,Pos,1.137480574,0.579,0.384,1.24E-16,NA,NA,NA,NA
DC,DC,C1QB,LRP1,0.007845987,0,305,C1QB - LRP1,other,other,other,Pos,1.137480574,0.579,0.384,1.24E-16,0.137098017,0.276,0.198,0.003857379
Macrophages,Macrophages,CALM1,ABCA1,0.016849255,0,364,CALM1 - ABCA1,other,other,other,Pos,0.423808234,0.917,0.978,0,0.645580165,0.292,0.064,0
DC,Macrophages,CALM1,ABCA1,0.0153016,0,364,CALM1 - ABCA1,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,0.645580165,0.292,0.064,0
Prolif.T,Macrophages,CALM1,ABCA1,0.017015288,0,364,CALM1 - ABCA1,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,0.645580165,0.292,0.064,0
