ligand,receptor,cell_from_logFC,cell_from_q.value,cell_from,cell_to_logFC,cell_to_q.value,cell_to,comm_type
ADAM10,AXL,0.116289974,0.000135889,Macrophages,-0.236040645,6.86E-291,Macrophages,other
ADAM15,ITGA5,0.105046879,1,Macrophages,0.451215307,4.73E-107,Macrophages,other
ADAM17,ITGA5,-0.106806653,8.49E-168,Macrophages,0.451215307,4.73E-107,Macrophages,other
ADAM9,ITGAV,0.267452044,1.57E-54,Macrophages,0.154135673,0.096701544,Macrophages,other
ADAM9,ITGB1,0.267452044,1.57E-54,Macrophages,-0.138667375,6.35E-177,Macrophages,other
ADAM9,ITGB5,0.267452044,1.57E-54,Macrophages,-0.150009732,1.47E-183,Macrophages,other
ADM,ADRB2,0.604983495,0,Macrophages,-0.166466443,2.93E-226,Macrophages,other
AGRP,SDC3,-0.685217382,0,Macrophages,0.62273371,0,Macrophages,other
ALOX5AP,ALOX5,-1.429330476,0,Macrophages,-0.741695243,0,Macrophages,other
ANXA1,DYSF,-0.133715213,6.57E-156,Macrophages,0.705810319,0,Macrophages,other
ANXA1,FPR1,-0.133715213,6.57E-156,Macrophages,0.86801153,0,Macrophages,other
ANXA1,FPR3,-0.133715213,6.57E-156,Macrophages,0.763035958,0,Macrophages,other
APOE,SORL1,-0.693252079,0,Macrophages,0.139445275,1,Macrophages,other
APP,CD74,0.46523939,1.16E-226,Macrophages,-1.018967542,0,Macrophages,other
APP,FPR2,0.46523939,1.16E-226,Macrophages,0.129207633,1,Macrophages,other
ARF1,CHRM3,0.30675671,3.34E-90,Macrophages,-0.17604721,9.57E-268,Macrophages,other
C1QA,CD93,-0.947611148,0,Macrophages,0.358169522,1.53E-278,Macrophages,other
CALM1,ABCA1,0.423808234,0,Macrophages,0.645580165,0,Macrophages,other
CALM1,FAS,0.423808234,0,Macrophages,0.272300968,1.71E-214,Macrophages,other
CALM1,PDE1B,0.423808234,0,Macrophages,-0.154631488,9.63E-195,Macrophages,other
CALM1,SELL,0.423808234,0,Macrophages,0.583894701,0,Macrophages,other
CALM2,ABCA1,-0.167450428,1.70E-159,Macrophages,0.645580165,0,Macrophages,other
CALM2,SELL,-0.167450428,1.70E-159,Macrophages,0.583894701,0,Macrophages,other
CALM3,ABCA1,0.691120031,0,Macrophages,0.645580165,0,Macrophages,other
CALM3,PDE1B,0.691120031,0,Macrophages,-0.154631488,9.63E-195,Macrophages,other
CALM3,SELL,0.691120031,0,Macrophages,0.583894701,0,Macrophages,other
CALR,HLA-F,0.581337177,2.97E-237,Macrophages,0.140598547,2.61E-05,Macrophages,other
CALR,ITGAV,0.581337177,2.97E-237,Macrophages,0.154135673,0.096701544,Macrophages,other
CAMP,FPR2,-0.259464674,8.15E-271,Macrophages,0.129207633,1,Macrophages,other
CAMP,P2RX7,-0.259464674,8.15E-271,Macrophages,0.481410286,1.01E-139,Macrophages,other
CCL13,CCR1,0.790048355,7.56E-285,Macrophages,1.306045262,0,Macrophages,other
CCL13,CCR5,0.790048355,7.56E-285,Macrophages,0.244063867,3.83E-226,Macrophages,other
CCL2,CCR1,3.28549325,0,Macrophages,1.306045262,0,Macrophages,other
CCL2,CCR5,3.28549325,0,Macrophages,0.244063867,3.83E-226,Macrophages,other
CCL3,CCR1,0.393340058,4.68E-222,Macrophages,1.306045262,0,Macrophages,other
CCL3,CCR5,0.393340058,4.68E-222,Macrophages,0.244063867,3.83E-226,Macrophages,other
CCL4,CCR1,0.835357526,2.13E-244,Macrophages,1.306045262,0,Macrophages,other
CCL4,CCR5,0.835357526,2.13E-244,Macrophages,0.244063867,3.83E-226,Macrophages,other
CCL5,CCR1,0.615175611,3.29E-177,Macrophages,1.306045262,0,Macrophages,other
CCL5,CCR5,0.615175611,3.29E-177,Macrophages,0.244063867,3.83E-226,Macrophages,other
CCL5,SDC4,0.615175611,3.29E-177,Macrophages,0.254441325,4.66E-55,Macrophages,other
CCL7,CCR1,1.441755991,0,Macrophages,1.306045262,0,Macrophages,other
CCL7,CCR5,1.441755991,0,Macrophages,0.244063867,3.83E-226,Macrophages,other
CCL8,CCR1,2.332371427,0,Macrophages,1.306045262,0,Macrophages,other
CCL8,CCR5,2.332371427,0,Macrophages,0.244063867,3.83E-226,Macrophages,other
CD14,ITGA4,0.992675695,0,Macrophages,0.153764885,2.51E-06,Macrophages,other
CD14,ITGB1,0.992675695,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
CD14,ITGB2,0.992675695,0,Macrophages,0.189293563,7.45E-07,Macrophages,other
CD14,TLR4,0.992675695,0,Macrophages,0.30380965,3.37E-24,Macrophages,other
CD36,TLR4,0.433225711,3.93E-116,Macrophages,0.30380965,3.37E-24,Macrophages,other
CXCL10,SDC4,2.302593041,0,Macrophages,0.254441325,4.66E-55,Macrophages,other
EFNB1,EPHB2,-0.101656468,2.54E-146,Macrophages,0.276116316,0,Macrophages,other
F13A1,ITGA4,0.553370197,0,Macrophages,0.153764885,2.51E-06,Macrophages,other
F13A1,ITGB1,0.553370197,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
FN1,ITGA5,0.136130312,7.73E-75,Macrophages,0.451215307,4.73E-107,Macrophages,other
FN1,ITGB8,0.136130312,7.73E-75,Macrophages,-0.27075841,0,Macrophages,other
GAS6,AXL,0.322866484,4.80E-298,Macrophages,-0.236040645,6.86E-291,Macrophages,other
GAS6,MERTK,0.322866484,4.80E-298,Macrophages,0.704753183,0,Macrophages,other
GNAI2,ADCY7,0.254396454,2.73E-29,Macrophages,0.280544449,1.33E-22,Macrophages,other
GNAI2,CCR5,0.254396454,2.73E-29,Macrophages,0.244063867,3.83E-226,Macrophages,other
GNAI2,FPR1,0.254396454,2.73E-29,Macrophages,0.86801153,0,Macrophages,other
GNAI2,S1PR4,0.254396454,2.73E-29,Macrophages,-0.15818084,2.36E-215,Macrophages,other
GNAI2,UNC5B,0.254396454,2.73E-29,Macrophages,-0.375401394,0,Macrophages,other
GNAS,ADCY7,-0.220231515,0,Macrophages,0.280544449,1.33E-22,Macrophages,other
HBEGF,CD44,-0.248059975,0,Macrophages,0.139727709,1,Macrophages,other
HBEGF,CD82,-0.248059975,0,Macrophages,0.263986225,0.000227863,Macrophages,other
HBEGF,CD9,-0.248059975,0,Macrophages,-1.278448217,0,Macrophages,other
HLA-A,APLP2,0.506280953,0,Macrophages,0.219085744,9.93E-14,Macrophages,other
HLA-A,LILRB1,0.506280953,0,Macrophages,0.77863979,0,Macrophages,other
HLA-A,LILRB2,0.506280953,0,Macrophages,1.289064282,0,Macrophages,other
HLA-C,LILRB1,-0.454043649,0,Macrophages,0.77863979,0,Macrophages,other
HLA-C,LILRB2,-0.454043649,0,Macrophages,1.289064282,0,Macrophages,other
HMGB1,TLR4,-0.192333864,2.35E-229,Macrophages,0.30380965,3.37E-24,Macrophages,other
HP,ASGR1,-1.950434969,0,Macrophages,0.309793714,3.88E-29,Macrophages,other
HP,ITGAM,-1.950434969,0,Macrophages,0.614091549,0,Macrophages,other
HP,ITGB2,-1.950434969,0,Macrophages,0.189293563,7.45E-07,Macrophages,other
HSP90B1,ASGR1,0.297530611,3.41E-08,Macrophages,0.309793714,3.88E-29,Macrophages,other
HSP90B1,TLR1,0.297530611,3.41E-08,Macrophages,0.331042766,6.75E-93,Macrophages,other
HSP90B1,TLR2,0.297530611,3.41E-08,Macrophages,0.852865008,0,Macrophages,other
HSP90B1,TLR4,0.297530611,3.41E-08,Macrophages,0.30380965,3.37E-24,Macrophages,other
HSPA1A,TLR4,0.987361919,1,Macrophages,0.30380965,3.37E-24,Macrophages,other
