lr.cell.name,lr.gene.name,obs.xy.diff,null.diff.sd,pvalue,stage,adj.p,Welch.t.stat,Welch.t.sd,Welch.t.p,adj.t.p,Ligand_s1,Ligand_s2,Ligand_s3,Ligand_s4,Ligand_s5,Ligand_s6,Ligand_s7,Ligand_s8,Ligand_s9,Ligand_s10,Ligand_s11,Ligand_s12,Ligand_s13,Ligand_s14,Ligand_s15,Ligand_s16,Ligand_s17,Ligand_s18,Ligand_s19,Ligand_s20,Receptor_s1,Receptor_s2,Receptor_s3,Receptor_s4,Receptor_s5,Receptor_s6,Receptor_s7,Receptor_s8,Receptor_s9,Receptor_s10,Receptor_s11,Receptor_s12,Receptor_s13,Receptor_s14,Receptor_s15,Receptor_s16,Receptor_s17,Receptor_s18,Receptor_s19,Receptor_s20,TX1.sd.limma.ligand,TX2.sd.limma.ligand,TX1.sd.limma.receptor,TX2.sd.limma.receptor
AT2-AT2,TGFB1-ITGB6,25.6826,3.2515,0,2,0,7.7747,3.3034,1.00E-06,0.000953915,1.451522626,1.570505459,3.762768952,2.112041284,0.979888921,1.319909002,2.47275506,0,0,5.922582462,4.998881012,3.777756439,3.936247106,5.236924446,4.775362069,4.691488335,4.429280868,3.689939177,4.285368422,5.082843713,6.647314879,6.758360777,6.834983836,6.43422114,6.838404482,6.049795371,7.303876419,7.886066144,6.142479747,8.22535612,7.73243064,7.483975448,8.212890039,7.821216273,8.200539715,7.761317534,7.689648269,7.127522333,8.186856106,6.963776126,0.928638806,0.928638806,0.49384445,0.49384445
AT2-AT2,TNC-EGFR,25.8119,3.0102,0,2,0,8.3913,3.076,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,5.871781562,5.798353542,6.666637579,5.209431565,5.245948706,5.27470489,4.424897073,5.114846638,3.900011742,6.331661473,5.568724837,5.809964106,6.180739876,5.642366023,4.69599542,5.464809957,5.067362319,4.490109506,5.764142295,4.708859424,1.091172797,1.091172797,0.69793274,0.69793274
AT2-AT2,TNC-ITGAV,22.2018,2.7635,0,2,0,7.5181,2.9531,1.00E-06,0.000953915,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,3.869819998,4.091916877,5.387684617,3.760609643,3.82030488,3.289758926,4.57016791,5.114846638,5.419065155,6.650002626,4.043309053,4.724181031,4.635014509,4.670964409,5.117501113,4.490236029,3.494735294,3.280465063,4.347664739,4.042492524,1.091172797,1.091172797,0.837669302,0.837669302
AT2-AT2,TNC-ITGB1,33.9846,3.3851,0,2,0,9.2335,3.6806,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,6.578268804,6.481590781,7.361605037,6.348569849,6.123296977,6.295884093,6.692066393,5.685863824,6.402106421,7.779649002,7.185379803,7.645389296,6.851334518,6.796154607,7.19103474,7.044353105,6.136260274,6.131254449,7.111039632,6.918345215,1.091172797,1.091172797,0.483453107,0.483453107
AT2-AT2,TNC-ITGB6,38.225,3.7348,0,2,0,10.1166,3.7785,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,6.647314879,6.758360777,6.834983836,6.43422114,6.838404482,6.049795371,7.303876419,7.886066144,6.142479747,8.22535612,7.73243064,7.483975448,8.212890039,7.821216273,8.200539715,7.761317534,7.689648269,7.127522333,8.186856106,6.963776126,1.091172797,1.091172797,0.49384445,0.49384445
AT2-AT2,TNC-SDC1,34.4082,3.4796,0,2,0,10.3823,3.3141,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,6.313013394,6.182946771,6.666637579,6.118759302,6.972901533,5.523401233,6.333477334,5.114846638,4.850864354,8.22535612,7.079226856,7.048711099,7.307354527,6.014196727,7.101473771,7.597150547,7.276938261,6.455190815,6.994186513,7.318788855,1.091172797,1.091172797,0.625453881,0.625453881
AT2-AT2,TNC-SDC4,42.8992,4.4106,0,2,0,9.2122,4.6568,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,8.387374317,9.627010778,8.586860603,8.088500933,8.051520194,7.653074843,7.960181794,8.398808568,7.806442579,8.776362519,8.797589288,8.610833506,8.716688021,9.432901335,9.430380424,8.214986484,8.405721737,8.280650291,9.599596203,8.533499492,1.091172797,1.091172797,0.52391297,0.52391297
AT2-cDCs,TNC-ITGB1,23.8838,2.651,0,2,0,9.0439,2.6409,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,4.804910439,3.278158092,5.856747839,4.87577599,4.514987989,4.880486254,4.444314114,4.566451695,4.849118578,5.541233893,5.169949148,4.771986768,4.824514561,5.174395411,4.141725936,4.721884686,4.704044231,4.943130148,5.729456839,5.12850937,1.091172797,1.091172797,0.543943975,0.543943975
AT2-Ciliated,TNC-ITGAV,28.0203,3.1368,0,2,0,8.5907,3.2617,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,6.540683708,6.636389207,6.470544851,5.413246031,5.392673938,5.29653834,6.190960438,6.229869227,5.322190725,5.97328363,4.642173996,6.245243487,6.652618328,6.209103044,6.507905829,5.892881401,5.522547347,5.67377371,5.065876374,5.56418083,1.091172797,1.091172797,0.584278183,0.584278183
AT2-Ciliated,TNC-ITGB1,36.2066,3.5836,0,2,0,9.5032,3.8099,0,0,0.934219726,0.101604637,2.050845777,1.412246427,3.1603653,1.10253683,0,0,0,5.922582462,4.436303546,7.262925544,4.888339221,7.428940777,6.521754495,5.184352845,4.246170209,5.525807975,6.709890066,5.082843713,5.814012275,7.869006522,7.520954041,6.991275557,7.299443175,6.77218636,7.120084439,7.069297658,6.910961797,7.886343832,7.498103247,7.886711094,7.622089803,7.094356301,7.715421377,7.676602003,7.171867262,7.056525307,7.645361851,7.092862319,1.091172797,1.091172797,0.443451034,0.443451034
