lr.cell.name,lr.gene.name,obs.xy.diff,null.diff.sd,pvalue,stage,adj.p,Welch.t.stat,Welch.t.sd,Welch.t.p,adj.t.p,Ligand_s1,Ligand_s2,Ligand_s3,Ligand_s4,Ligand_s5,Ligand_s6,Ligand_s7,Ligand_s8,Ligand_s9,Ligand_s10,Ligand_s11,Ligand_s12,Ligand_s13,Ligand_s14,Ligand_s15,Ligand_s16,Ligand_s17,Ligand_s18,Ligand_s19,Ligand_s20,Ligand_s21,Receptor_s1,Receptor_s2,Receptor_s3,Receptor_s4,Receptor_s5,Receptor_s6,Receptor_s7,Receptor_s8,Receptor_s9,Receptor_s10,Receptor_s11,Receptor_s12,Receptor_s13,Receptor_s14,Receptor_s15,Receptor_s16,Receptor_s17,Receptor_s18,Receptor_s19,Receptor_s20,Receptor_s21,TX1.sd.limma.ligand,TX2.sd.limma.ligand,TX1.sd.limma.receptor,TX2.sd.limma.receptor
Endothelial cells-Endothelial cells,SERPING1-LRP1,15.5757,2.4401,4.08E-09,2,0.000190663,5.693,2.7359,0.000457,0.045857782,8.0453607,9.314644478,7.896940307,9.264847593,8.789308315,9.065645708,9.16266999,8.543120052,8.719942414,9.117769484,8.944046112,9.744713128,9.797653011,9.219122148,9.266891,9.42979732,10.11835994,9.28309389,9.687875371,9.64892436,9.411907889,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.46837021,0.46837021,0.456093707,0.456093707
MEP-Endothelial cells,PSAP-LRP1,12.1439,1.8716,5.91E-09,2,0.000190663,6.9014,1.7596,2.00E-05,0.013583579,6.462746466,7.221558239,6.682258945,6.416105062,7.122782676,7.885592875,7.236874308,7.642191153,7.557541877,7.277010634,7.332648697,7.367441446,7.125905786,6.436537134,7.08502346,7.166060032,7.198492868,7.009511649,7.436550923,7.438525666,7.254648064,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.325123248,0.325123248,0.456093707,0.456093707
Fibroblasts-Endothelial cells,PSAP-LRP1,21.8778,3.2521,2.88E-08,2,0.000582424,7.0742,3.0926,7.30E-05,0.021216694,12.07047188,13.32847661,12.79185843,13.39484698,13.45623117,13.95311501,14.13979353,13.54947304,13.52819229,13.65470089,13.87304989,14.0332837,13.6471533,13.2771612,13.87213836,13.63843878,13.8146366,13.67752263,13.67432249,13.94485023,13.6980985,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.348609353,0.348609353,0.456093707,0.456093707
Macrophages-Macrophages,PDCD1LG2-PDCD2,12.1461,2.0397,3.61E-08,2,0.000582424,4.7069,2.5805,0.005246,0.159435898,0,1.772872628,1.900398271,0,0,3.085460137,1.444467981,2.766387779,2.539566546,2.118447455,3.706945995,3.420957468,2.516222745,3.115640545,3.332629539,3.722467672,2.972566604,2.591898872,2.971988464,3.513313671,2.49734828,4.531717637,5.045692768,5.68061096,4.646061169,6.11722281,6.082571915,6.262122546,5.943163143,4.976802248,5.361318097,5.665119413,5.177944009,5.402831388,5.43202614,5.661265255,5.287769515,5.492856393,5.622860187,5.662055278,5.809150332,5.339670588,0.690012667,0.690012667,0.426054824,0.426054824
Fibroblasts-Endothelial cells,APP-LRP1,19.4247,2.9497,5.53E-08,2,0.000713729,8.0281,2.4196,5.00E-06,0.009488529,11.29208578,11.93390931,11.78833233,11.97611863,12.57888296,12.26456697,12.40030443,12.51280062,12.55088313,12.59447219,12.51281697,13.08249663,12.26509388,12.28938164,12.69660106,12.19847081,12.68203136,12.26298306,12.29717429,12.77696528,12.27639935,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.324963474,0.324963474,0.456093707,0.456093707
Fibroblasts-Endothelial cells,HSPG2-LRP1,16.1198,2.5876,8.57E-08,2,0.000921589,5.8101,2.7744,0.000515,0.04836802,8.627532575,9.314919084,9.161659619,9.454256642,8.144203993,10.72743597,10.1265004,10.28207995,9.264891008,9.259113794,10.03829214,9.521395313,9.860976789,9.298640062,9.429395962,8.785516631,9.580333752,9.670666687,9.639100385,9.859950112,9.048793878,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.500015122,0.500015122,0.456093707,0.456093707
Fibroblasts-Endothelial cells,LIPC-LRP1,16.9274,2.6257,1.42E-07,2,0.001308267,4.2651,3.9688,0.011903,0.230948253,0,3.80359808,3.344187881,0,2.820199425,3.798985005,5.156926563,4.610288449,4.52147672,3.997516081,4.490324785,4.661132514,4.503309938,4.816000474,4.091188065,4.698426399,4.359128449,4.814218672,3.964303674,4.330388946,4.090998586,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.874952203,0.874952203,0.456093707,0.456093707
Macrophages-Smooth muscle cells,PDCD1LG2-PDCD2,14.6331,2.4074,1.85E-07,2,0.0014892,4.563,3.2069,0.005925,0.168587907,0,1.772872628,1.900398271,0,0,3.085460137,1.444467981,2.766387779,2.539566546,2.118447455,3.706945995,3.420957468,2.516222745,3.115640545,3.332629539,3.722467672,2.972566604,2.591898872,2.971988464,3.513313671,2.49734828,6.645366995,6.776024084,6.662966852,6.150004979,6.306731605,7.105436767,6.90664587,6.139498034,6.563230607,6.684838382,6.74966527,6.735431852,6.542675067,6.915301068,6.940503117,6.727433186,6.817943999,6.714606692,7.003483445,6.812237096,6.693351491,0.690012667,0.690012667,0.252420166,0.252420166
Macrophages-Endothelial cells,APP-LRP1,10.3532,1.7565,2.46E-07,2,0.001761664,5.8111,1.7816,9.70E-05,0.024992711,6.62944419,6.914782078,6.192894181,6.243852437,6.29915127,7.117984264,6.656127573,6.390849906,6.814135669,6.580409048,6.978534682,6.891663804,7.23731643,6.116237073,7.047419295,6.184599442,6.985657973,6.434487943,6.882097559,6.654218846,6.606059829,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.325116441,0.325116441,0.456093707,0.456093707
Lymphatic-Endothelial cells,PSAP-LRP1,12.5947,2.0953,2.73E-07,2,0.001761664,6.0421,2.0845,0.000312,0.03924145,5.395610562,6.304121765,6.475634762,7.0871109,7.286453469,6.944893424,7.002430167,6.329815222,7.209004258,7.096317469,7.072590806,7.758331345,7.215827244,6.558747327,7.359906842,7.47598772,7.338158372,7.341278694,7.093534652,7.303847326,7.236717521,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.447438454,0.447438454,0.456093707,0.456093707
Endothelial cells-Endothelial cells,AGRN-LRP1,11.872,1.8923,3.03E-07,2,0.00177615,6.441,1.8432,0.00035,0.041512316,5.252275461,5.552409128,6.090701012,6.695939618,5.934035605,6.860863073,6.633446957,6.92894083,5.83620815,6.490387495,6.46458475,6.703825564,6.864673788,6.772374297,6.486728044,5.98123856,7.01628821,6.857573832,6.216617962,6.283299564,6.846967311,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.397403146,0.397403146,0.456093707,0.456093707
Macrophages-Endothelial cells,SERPING1-LRP1,16.191,2.4938,3.41E-07,2,0.00183278,5.7331,2.8242,0.000167,0.029765674,5.597598587,7.160058603,5.465451016,6.788000886,6.408824858,7.57517078,7.004503703,6.446772036,7.497676259,7.364317996,7.691761597,8.448591814,8.330988445,6.302948129,7.682837768,7.850801198,8.348078291,6.54738926,8.228575299,8.046805898,7.615825186,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.675455686,0.675455686,0.456093707,0.456093707
Endothelial cells-Endothelial cells,PSAP-LRP1,15.0665,2.3916,4.55E-07,2,0.001936298,6.9998,2.1524,1.60E-05,0.013067747,9.407664432,9.701871292,9.427809981,10.01582886,9.883577987,10.36132875,9.996942286,9.617152168,9.771386613,9.957195,10.03034683,10.37390113,10.2122852,9.77089274,10.06652231,10.03064839,10.11413297,9.821799669,10.15173545,9.931808689,10.09336932,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.238736415,0.238736415,0.456093707,0.456093707
Macrophages-Endothelial cells,A2M-LRP1,13.7217,2.1537,4.55E-07,2,0.001936298,7.087,1.9362,2.50E-05,0.014049145,5.9323494,6.601238254,7.052442282,6.788000886,6.737900167,7.446891703,7.435982225,6.33267239,7.398253276,7.572851497,8.317637784,7.653057185,7.729667206,7.171221112,7.873542005,7.327114242,7.549970927,7.019482599,7.594423549,7.241511225,7.191819952,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.419201262,0.419201262,0.456093707,0.456093707
Fibroblasts-Endothelial cells,LRPAP1-LRP1,16.5528,2.5872,4.75E-07,2,0.001936298,6.3928,2.5893,0.000267,0.036116088,10.16882025,11.32362616,10.18959761,10.97076587,11.0931181,11.11391842,11.87164457,11.04784717,10.9657677,11.06117998,10.98507301,11.08904346,11.10660961,10.87761721,10.98045763,11.13920139,11.19813406,11.07221123,11.06529354,11.06390682,11.0974238,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.332899732,0.332899732,0.456093707,0.456093707
Endothelial cells-Endothelial cells,A2M-LRP1,17.0678,2.7755,5.25E-07,2,0.001936298,7.0494,2.4212,0.000151,0.028930218,10.28572439,10.38545282,11.39494548,10.6976395,10.3061402,11.14029451,10.62533905,11.45215585,10.55424346,11.21197808,11.31780959,11.13964847,10.74192145,11.24114228,11.0493912,11.30410932,11.25841477,11.34758931,11.04260079,10.95121879,11.19150368,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.320338555,0.320338555,0.456093707,0.456093707
Macrophages-Fibroblasts,PDCD1LG2-PDCD2,19.6619,3.222,5.39E-07,2,0.001936298,4.6881,4.194,0.005216,0.159095342,0,1.772872628,1.900398271,0,0,3.085460137,1.444467981,2.766387779,2.539566546,2.118447455,3.706945995,3.420957468,2.516222745,3.115640545,3.332629539,3.722467672,2.972566604,2.591898872,2.971988464,3.513313671,2.49734828,9.096004231,8.908851508,8.65035884,8.167717682,8.866690977,8.993224701,8.908394511,9.01220736,8.796782555,9.062482872,8.899815568,9.049727654,8.83373511,9.138967712,9.04346534,9.309760887,8.848922658,8.955777581,9.27594195,9.039963563,8.954200609,0.690012667,0.690012667,0.24939876,0.24939876
Smooth muscle cells-Endothelial cells,SERPING1-LRP1,15.2313,2.5404,5.62E-07,2,0.001936298,5.4335,2.8032,0.00057,0.050727641,8.709295653,10.11668378,10.0842197,9.892150918,9.73938708,10.41566224,9.602088043,9.857408665,9.526391905,10.06553704,10.39818773,10.20784697,10.30221482,9.679056005,10.17178803,9.846772066,10.29499597,9.722785129,10.81261183,10.14514607,10.1225822,4.330536303,4.943397399,4.661860431,4.77481411,4.153014745,6.59042814,5.507083286,5.447985665,6.281275854,5.530063611,5.74658199,6.385353215,6.587744461,5.233205721,5.714028584,5.98123856,6.30464957,4.92973355,6.313192639,6.023965023,6.127687774,0.406485784,0.406485784,0.456093707,0.456093707
