"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"num.p.scXY",177,172,177,195,175,195,184,180,164,183
"num.true.p.scXY",169,163,166,181,170,189,174,166,157,171
"precesion.scXY",0.954802259887006,0.947674418604651,0.937853107344633,0.928205128205128,0.971428571428571,0.969230769230769,0.945652173913043,0.922222222222222,0.957317073170732,0.934426229508197
"recall.scXY",0.338,0.326,0.332,0.362,0.34,0.378,0.348,0.332,0.314,0.342
"FalseP.scXY",0.004,0.0045,0.0055,0.007,0.0025,0.003,0.005,0.007,0.0035,0.006
"F1.scXY",0.499261447562777,0.485119047619048,0.4903988183161,0.520863309352518,0.503703703703704,0.543884892086331,0.508771929824561,0.488235294117647,0.47289156626506,0.500732064421669
"one.p.scXY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.t",16,7,1,6,1,0,10,2,1,7
"num.true.p.t",16,6,1,6,1,0,10,2,1,7
"precesion.t",1,0.857142857142857,1,1,1,NA,1,1,1,1
"recall.t",0.032,0.012,0.002,0.012,0.002,0,0.02,0.004,0.002,0.014
"FalseP.t",0,0.0005,0,0,0,0,0,0,0,0
"F1.t",0.062015503875969,0.0236686390532544,0.00399201596806387,0.0237154150197628,0.00399201596806387,NA,0.0392156862745098,0.00796812749003984,0.00399201596806387,0.0276134122287968
"one.p.t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"num.p.limma",219,219,227,207,218,217,215,199,184,209
"num.true.p.limma",203,208,210,196,213,213,208,192,172,199
"precesion.limma",0.926940639269406,0.949771689497717,0.92511013215859,0.946859903381642,0.977064220183486,0.981566820276498,0.967441860465116,0.964824120603015,0.934782608695652,0.952153110047847
"recall.limma",0.406,0.416,0.42,0.392,0.426,0.426,0.416,0.384,0.344,0.398
"FalseP.limma",0.008,0.0055,0.0085,0.0055,0.0025,0.002,0.0035,0.0035,0.006,0.005
"F1.limma",0.564673157162726,0.578581363004173,0.577716643741403,0.554455445544555,0.593314763231198,0.594142259414226,0.581818181818182,0.549356223175966,0.502923976608187,0.561354019746121
"one.p.limma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
