,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
num.p.scXY,108,127,97,106,103,118,110,121,119,114
num.true.p.scXY,104,125,92,104,101,115,110,117,118,112
precesion.scXY,0.962962963,0.984251969,0.948453608,0.981132075,0.980582524,0.974576271,1,0.966942149,0.991596639,0.98245614
recall.scXY,0.208,0.25,0.184,0.208416834,0.202,0.23,0.22,0.234,0.236,0.224
FalseP.scXY,0.002,0.001,0.0025,0.0010005,0.001,0.0015,0,0.002,0.0005,0.001
F1.scXY,0.342105263,0.398724083,0.308207705,0.343801653,0.334991708,0.372168285,0.360655738,0.376811594,0.381260097,0.364820847
one.p.scXY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.t,46,73,43,46,41,62,51,52,55,54
num.true.p.t,44,73,43,46,41,62,51,52,55,54
precesion.t,0.956521739,1,1,1,1,1,1,1,1,1
recall.t,0.088,0.146,0.086,0.092184369,0.082,0.124,0.102,0.104,0.11,0.108
FalseP.t,0.001,0,0,0,0,0,0,0,0,0
F1.t,0.161172161,0.254799302,0.158379374,0.168807339,0.151571165,0.220640569,0.185117967,0.188405797,0.198198198,0.194945848
one.p.t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
num.p.limma,187,220,165,173,176,174,190,173,181,171
num.true.p.limma,172,207,154,159,159,165,180,159,172,164
precesion.limma,0.919786096,0.940909091,0.933333333,0.919075145,0.903409091,0.948275862,0.947368421,0.919075145,0.950276243,0.959064327
recall.limma,0.344,0.414,0.308,0.318637275,0.318,0.33,0.36,0.318,0.344,0.328
FalseP.limma,0.0075,0.0065,0.0055,0.007003502,0.0085,0.0045,0.005,0.007,0.0045,0.0035
F1.limma,0.500727802,0.575,0.463157895,0.473214286,0.470414201,0.489614243,0.52173913,0.472511144,0.505139501,0.488822653
one.p.limma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
